YEAR,MONTH,sex,agegrp,total,disabilityType,percent
2008,1,Men,25 to 54,61941330.9961,Any difficulty,
2008,1,Women,25 to 54,63499582.0208,Any difficulty,
2008,1,Men,65+,15790200.0039,Any difficulty,
2008,1,Women,65+,20971539.9921,Any difficulty,
2008,1,Women,55 to 64,17152515.9956,Any difficulty,
2008,1,Women,18 to 24,13843796.704,Any difficulty,
2008,1,Men,18 to 24,14308583.4804,Any difficulty,
2008,1,Men,55 to 64,15918952.0016,Any difficulty,
2008,2,Women,65+,20999359.9974,Any difficulty,
2008,2,Men,25 to 54,61969444.0068,Any difficulty,
2008,2,Men,65+,15819269.9974,Any difficulty,
2008,2,Women,25 to 54,63513421.0055,Any difficulty,
2008,2,Women,55 to 64,17186878.9999,Any difficulty,
2008,2,Women,18 to 24,13983954.0597,Any difficulty,
2008,2,Men,55 to 64,15951343.0011,Any difficulty,
2008,2,Men,18 to 24,14308296.1731,Any difficulty,
2008,3,Women,65+,21026500.9914,Any difficulty,
2008,3,Men,25 to 54,61995596.0028,Any difficulty,
2008,3,Men,65+,15847841.0058,Any difficulty,
2008,3,Women,25 to 54,63525310.0038,Any difficulty,
2008,3,Women,55 to 64,17220714.9966,Any difficulty,
2008,3,Men,55 to 64,15983241.0005,Any difficulty,
2008,3,Men,18 to 24,14193397.3143,Any difficulty,
2008,3,Women,18 to 24,14027936.882,Any difficulty,
2008,4,Women,65+,21055318.9896,Any difficulty,
2008,4,Men,25 to 54,62026589.0036,Any difficulty,
2008,4,Men,65+,15877642.0005,Any difficulty,
2008,4,Women,25 to 54,63542019.992,Any difficulty,
2008,4,Women,18 to 24,14119428.7856,Any difficulty,
2008,4,Men,55 to 64,16016355.0099,Any difficulty,
2008,4,Women,55 to 64,17255855.0009,Any difficulty,
2008,4,Men,18 to 24,14177359.1112,Any difficulty,
2008,5,Women,65+,21085785.0007,Any difficulty,
2008,5,Men,25 to 54,62057974.9969,Any difficulty,
2008,5,Women,25 to 54,63557843.9971,Any difficulty,
2008,5,Women,18 to 24,14276114.6048,Any difficulty,
2008,5,Men,55 to 64,16051757.9976,Any difficulty,
2008,5,Women,55 to 64,17293181.0017,Any difficulty,
2008,5,Men,65+,15909395.9974,Any difficulty,
2008,5,Men,18 to 24,14317185.2949,Any difficulty,
2008,6,Women,65+,21117661.998,Any difficulty,0.364484826929656
2008,6,Men,25 to 54,62093429.0141,Any difficulty,0.0596985244390071
2008,6,Women,25 to 54,63577716.0054,Any difficulty,0.0690926786678983
2008,6,Women,18 to 24,14177614.9273,Any difficulty,0.0324280399882151
2008,6,Men,55 to 64,16088182.9974,Any difficulty,0.1472257652516
2008,6,Women,55 to 64,17331606.9928,Any difficulty,0.158466587232272
2008,6,Men,65+,15942184.9943,Any difficulty,0.315304678793856
2008,6,Men,18 to 24,14346691.0868,Any difficulty,0.0382491916554117
2008,7,Women,65+,21150938.9963,Any difficulty,0.36394790832911
2008,7,Men,25 to 54,62132911.9911,Any difficulty,0.063057180577038
2008,7,Women,25 to 54,63601598.0045,Any difficulty,0.0698425657022911
2008,7,Women,18 to 24,14217553.3907,Any difficulty,0.0318593494571501
2008,7,Women,55 to 64,17371122.0116,Any difficulty,0.158126948729376
2008,7,Men,55 to 64,16125626.0003,Any difficulty,0.153460651521619
2008,7,Men,65+,15976002.0088,Any difficulty,0.316241245414033
2008,7,Men,18 to 24,14376141.9901,Any difficulty,0.040709654600172
2008,8,Women,65+,21195422.0123,Any difficulty,0.361507459703018
2008,8,Men,25 to 54,62159509.9983,Any difficulty,0.0639013891294933
2008,8,Women,25 to 54,63610379.988,Any difficulty,0.0678900024337959
2008,8,Women,18 to 24,14086454.2455,Any difficulty,0.0303694785248504
2008,8,Men,65+,16020066.0007,Any difficulty,0.314596314021414
2008,8,Women,55 to 64,17422208.0071,Any difficulty,0.158754368061318
2008,8,Men,55 to 64,16173513.9989,Any difficulty,0.158721888092754
2008,8,Men,18 to 24,14417049.5514,Any difficulty,0.045928984119757
2008,9,Women,65+,21240884.989,Any difficulty,0.350233038079749
2008,9,Women,55 to 64,17474060.0046,Any difficulty,0.15605081011981
2008,9,Women,25 to 54,63621963.0024,Any difficulty,0.0689230345114404
2008,9,Men,25 to 54,62188922.9984,Any difficulty,0.0663178771130368
2008,9,Women,18 to 24,14029861.8872,Any difficulty,0.0280537903554909
2008,9,Men,65+,16064853.9989,Any difficulty,0.310402829097696
2008,9,Men,55 to 64,16222115.0031,Any difficulty,0.165982950865868
2008,9,Men,18 to 24,14300895.0597,Any difficulty,0.0436913813290444
2008,10,Women,55 to 64,17525848.9979,Any difficulty,0.15991715336791
2008,10,Women,25 to 54,63633314.9867,Any difficulty,0.0661859314477059
2008,10,Men,25 to 54,62218104.0102,Any difficulty,0.0654227179991324
2008,10,Men,65+,16109580.007,Any difficulty,0.305118858279618
2008,10,Women,65+,21286268.9935,Any difficulty,0.336103764524665
2008,10,Men,55 to 64,16270657.9847,Any difficulty,0.161109618121466
2008,10,Men,18 to 24,14313138.7877,Any difficulty,0.04281848095588
2008,10,Women,18 to 24,14015740.3524,Any difficulty,0.0286443580649847
2008,11,Women,55 to 64,17577285.9964,Any difficulty,0.15689774911581
2008,11,Women,25 to 54,63640692.0073,Any difficulty,0.0662575456095971
2008,11,Men,18 to 24,14273740.9494,Any difficulty,0.0422381806869868
2008,11,Women,18 to 24,13989599.7034,Any difficulty,0.0313950770366401
2008,11,Men,65+,16140525.0011,Any difficulty,0.297515058721617
2008,11,Men,25 to 54,62240876.9937,Any difficulty,0.0644242060102378
2008,11,Women,65+,21317332.0014,Any difficulty,0.332654293207719
2008,11,Men,55 to 64,16319190.9979,Any difficulty,0.157909960814333
2008,12,Women,55 to 64,17628125.0056,Any difficulty,0.158470425028899
2008,12,Men,55 to 64,16367166.9966,Any difficulty,0.159433530136405
2008,12,Men,25 to 54,62261469.9998,Any difficulty,0.0642966741375181
2008,12,Women,25 to 54,63645906.0031,Any difficulty,0.0662719663978789
2008,12,Men,65+,16170908.0133,Any difficulty,0.298047062059593
2008,12,Women,65+,21347634.9915,Any difficulty,0.32789874891936
2008,12,Women,18 to 24,14162347.9102,Any difficulty,0.0331044139977902
2008,12,Men,18 to 24,14322272.4567,Any difficulty,0.0434809476277403
2009,1,Women,65+,21433876.9919,Any difficulty,0.331313225604665
2009,1,Men,65+,16245634.9995,Any difficulty,0.293643551516873
2009,1,Men,55 to 64,16422919.0023,Any difficulty,0.157867015585774
2009,1,Women,55 to 64,17684070.0007,Any difficulty,0.157164921055503
2009,1,Women,25 to 54,63447286.998,Any difficulty,0.066127716692319
2009,1,Men,25 to 54,62013576.0054,Any difficulty,0.0626938649814591
2009,1,Men,18 to 24,14291539.1519,Any difficulty,0.0457494698192165
2009,1,Women,18 to 24,14272412.3044,Any difficulty,0.0334359271244485
2009,2,Women,65+,21456736.0001,Any difficulty,0.330001632809715
2009,2,Men,25 to 54,62030588.0155,Any difficulty,0.063702410194993
2009,2,Men,65+,16269974.9981,Any difficulty,0.291696077446599
2009,2,Women,25 to 54,63450392.9807,Any difficulty,0.0679451172605242
2009,2,Women,55 to 64,17732071.0008,Any difficulty,0.152031260763527
2009,2,Men,55 to 64,16467541.0014,Any difficulty,0.154209516914766
2009,2,Women,18 to 24,14153960.8549,Any difficulty,0.0314378075905131
2009,2,Men,18 to 24,14410062.0145,Any difficulty,0.0475779919899109
2009,3,Women,65+,21479443.9949,Any difficulty,0.332910062075994
2009,3,Men,25 to 54,62047174.0106,Any difficulty,0.0630696960643439
2009,3,Men,65+,16294203.9942,Any difficulty,0.294767937636576
2009,3,Women,25 to 54,63453078.9956,Any difficulty,0.0680633702991699
2009,3,Women,55 to 64,17779961.9998,Any difficulty,0.150166370497869
2009,3,Men,55 to 64,16512054.0047,Any difficulty,0.158030887553859
2009,3,Women,18 to 24,14239261.9647,Any difficulty,0.0339850725901155
2009,3,Men,18 to 24,14374024.9465,Any difficulty,0.0463718395147423
2009,4,Women,65+,21503355.9967,Any difficulty,0.336725458891682
2009,4,Men,25 to 54,62067189.0048,Any difficulty,0.0626155605870832
2009,4,Men,65+,16319331.9994,Any difficulty,0.300202543981587
2009,4,Women,25 to 54,63459156.9977,Any difficulty,0.0698097058516009
2009,4,Women,55 to 64,17828796.9953,Any difficulty,0.148771340842527
2009,4,Men,55 to 64,16557454.9986,Any difficulty,0.159112534735728
2009,4,Women,18 to 24,14169772.4644,Any difficulty,0.0335820921468939
2009,4,Men,18 to 24,14377519.6557,Any difficulty,0.039748830165809
2009,5,Women,65+,21528801.9977,Any difficulty,0.334286621121271
2009,5,Men,25 to 54,62080766.9927,Any difficulty,0.0627081455736165
2009,5,Men,65+,16346546.9967,Any difficulty,0.304000600897743
2009,5,Women,25 to 54,63459789.0108,Any difficulty,0.0683733994177253
2009,5,Women,55 to 64,17879382.9879,Any difficulty,0.149008133575023
2009,5,Men,55 to 64,16607111.0007,Any difficulty,0.156339746930731
2009,5,Men,18 to 24,14437244.442,Any difficulty,0.0400977986364138
2009,5,Women,18 to 24,14169399.6577,Any difficulty,0.0393524313358602
2009,6,Men,65+,16375306.0114,Any difficulty,0.307753925080338
2009,6,Women,65+,21556334.0056,Any difficulty,0.336267589471239
2009,6,Men,25 to 54,62100238.0021,Any difficulty,0.0613249038654444
2009,6,Women,18 to 24,14252277.0961,Any difficulty,0.0371325930047218
2009,6,Women,25 to 54,63466274.9983,Any difficulty,0.0686405836724574
2009,6,Women,55 to 64,17931616.0029,Any difficulty,0.154553751421612
2009,6,Men,55 to 64,16658299.9916,Any difficulty,0.158361381103128
2009,6,Men,18 to 24,14384933.4396,Any difficulty,0.0365244170232747
2009,7,Men,65+,16404933.0011,Any difficulty,0.305464584930886
2009,7,Women,65+,21585031.9858,Any difficulty,0.334671211613322
2009,7,Men,25 to 54,62123006.0055,Any difficulty,0.0614015683330309
